Item No;Description;Manufacturer;Model Number;Item Type;Custodian;Location;Status;Procedure;Contract Agency;Asset Number;Action Interval;Category;Memo;Serial No;Part Of;Date Acquired;Cost;Action Cost;Time Required;Alternate ID;Department;Metrology Discipline;Range;Standard Type;Use Std;Date Due;Item Out;Last Action Date;UDF Text 1;UDF Text 2;UDF Text 3;UDF Text 4;UDF Text 5;UDF Text 6;UDF Text 7;UDF Text 8;UDF Numeric 1;UDF Numeric 2;UDF Numeric 3;UDF Numeric 4;UDF Numeric 5;UDF Numeric 6;UDF Numeric 7;UDF Numeric 8;Customer Owned;Customer
903;Accelerometer;PCB Piezotronics;352C03;Calibration;Dave Niezgodzki;MC Lab;Active;;Modal Shop;LW-VTB01-ACLM02;365;Accelerometer;;LW213207;901;;;;;;Lab;Vibration;�500 g pk (�4900 m/s� pk);Working;;6/4/2021;;6/4/2020;Direct Impact;Sensitivity: �10% (10 mV/g; 1.02 mV/(m/s�));;;;;;;;;;;;;;;False;MC Lab
904;Accelerometer;PCB Piezotronics;353B15;Calibration;Dave Niezgodzki;MC Lab;Active;;Modal Shop;LW-DT01-ACLM03;365;Accelerometer;;LW214739;909;;;;;;Lab;Vibration;�500 g pk (�4900 m/s� pk);Working;;4/14/2022;;4/14/2021;Direct Impact;Sensitivity: �10% (10 mV/g; 1.02 mV/(m/s�));;;;;;;;;;;;;;;False;MC Lab
905;Signal Conditioner;IMI Sensors;682A02;Calibration;Dave Niezgodzki;MC Lab;Active;;Modal Shop;LW-DT01-SC01;365;Signal Conditioner;;46092;909;;;;;;Lab;Vibration;10.0 mVrms to 1.000 Vrms;Working;;6/2/2022;;6/2/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
906;Vibration Controller;Crystal Instruments;S81B-PO2;Calibration;Dave Niezgodzki;MC Lab;Active;;Techmaster Elect.;LW-VTB01-VC01;365;Controller;;1319520;901;;;;;;Lab;Vibration;;Working;;7/7/2022;;7/7/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
907;Desktop Shaker;Sentek Dynamics;VT-150;Maintenance;Dave Niezgodzki;MC Lab;Active;;Sentek Dynamics;LW-VTB01-DS01;1628;Vibration;;707122;901;;;;;;Lab;Vibration;150N;Working;;9/3/2022;;3/20/2018;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
908;Power Amplifier;Sentek Dynamics;LA-500;Maintenance;Dave Niezgodzki;MC Lab;Active;;Sentek Dynamics;LW-VTB01-PA01;1628;Electrical Power;;611162;;;;;;;Lab;Vibration;500 VA;Working;;4/9/2021;;3/20/2018;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
909;Drop Tower;MC Lab;;Cal Not Req;Dave Niezgodzki;MC Lab;Active;;MC Lab;LW-DT01;1826;Force Gauge;;;;;;;;;Lab;Force;;N/A;;3/20/2023;;3/20/2018;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
910;High Frequency Pressure Sensor;PCB Piezotronics;113B23;Calibration;Dave Niezgodzki;MC Lab;Active;;Modal Shop;LW-DT01-HFPS01;365;Pressure;;36416;;;;;;;Lab;Pressure;0 to 15,000 PSI;Working;;6/28/2022;;6/28/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
911;Ashcroft Module;Ashcroft;AQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;PSL;MW-PM234;365;Pressure;;64491;;;;;;;Manufacturing;Pressure;0 - 50" W.C.;Working;;5/4/2022;;5/4/2021;Direct Impact;� 0.06% Full Scale;;;;;;;;;;;;;;;False;R54
912;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;PSL;MW-PM235;365;Pressure;;64220;;;;;;#MC2020;Manufacturing;Pressure;0 - 5.0 PSIG;Working;;5/4/2022;;5/4/2021;Direct Impact;� 0.05% Full Scale;;;;;;;;;;;;;;;False;R54
913;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM236;365;Pressure;;64393;;;;;;#MC5023;Manufacturing;Pressure;0 - 15.0 PSIV;Working;;2/11/2022;;2/11/2021;Direct Impact;� 0.05% Full Scale;;;;;;;;;;;;;;;False;R54
914;Shock Sensor;PCB Piezotronics;350C03;Calibration;Dave Niezgodzki;MC Lab;Active;;Modal Shop;LW-DT01-SS01;365;Shock Sensor;;60057;;;;;;;Lab;Shock;(�30%) 0.5 mV/g (0.05 mV/(m/s�;Working;;4/15/2022;;4/15/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
915;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM237;365;Pressure;;26915;;;;;;#MC1002;Manufacturing;Pressure;0 - 1.0" WC;Working;;7/22/2022;;7/22/2021;Direct Impact;� 0.06% Full Scale;;;;;;;;;;;;;;;False;R54
916;Ashcroft Module;Ashcroft;AQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM238;365;Pressure;;57539;;;;;;;Manufacturing;Pressure;+/- 2.5" WC;Working;;7/22/2022;;7/22/2021;Direct Impact;� 0.06% Full Scale;;;;;;;;;;;;;;;False;R54
917;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM239;365;Pressure;;26916;;;;;;#MC1004;Manufacturing;Pressure;0 - 5.0" WC;Working;;10/19/2022;;10/19/2021;Direct Impact;� 0.06% Full Scale;;;;;;;;;;;;;;;False;R54
918;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM240;365;Pressure;;26919;;;;;;#MC1007;Manufacturing;Pressure;0 - 50.0" WC;Working;;7/22/2022;;7/22/2021;Direct Impact;� 0.06% Full Scale;;;;;;;;;;;;;;;False;R54
919;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.025%);Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM136;365;Pressure;;60457;;;;;;;Manufacturing;Pressure;0 - 100.0" WC;Working;;9/14/2022;;9/14/2021;Direct Impact;� 0.025% Full Scale;;;;;;;;;;;;;;;False;MC Lab
920;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM242;365;Pressure;;26921;;;;;;#MC1009;Manufacturing;Pressure;0 - 200.0" WC;Working;;7/22/2022;;7/22/2021;Direct Impact;� 0.06% Full Scale;;;;;;;;;;;;;;;False;R54
921;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.07%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM243;365;Pressure;;5799;;;;;;;Manufacturing;Pressure;0 - 0.25" WC;Working;;10/18/2022;;10/18/2021;Direct Impact;� 0.07% Full Scale;;;;;;;;;;;;;;;False;R54
922;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.07%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM244;365;Pressure;;26914;;;;;;#MC1001;Manufacturing;Pressure;0 - 0.5" WC;Working;;10/18/2022;;10/18/2021;Direct Impact;� 0.07% Full Scale;;;;;;;;;;;;;;;False;R54
923;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM245;365;Pressure;;57357;;;;;;#MC1002;Manufacturing;Pressure;0 - 1.0" WC;Working;;10/19/2022;;10/19/2021;Direct Impact;� 0.06% Full Scale;;;;;;;;;;;;;;;False;R54
924;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM246;365;Pressure;;27658;;;;;;;Manufacturing;Pressure;+/- 5.0" WC;Working;;10/19/2022;;10/19/2021;Direct Impact;� 0.06% Full Scale;;;;;;;;;;;;;;;False;R54
925;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM247;365;Pressure;;22827;;;;;;;Manufacturing;Pressure;0 - 25.0" WC;Working;;10/19/2022;;10/19/2021;Direct Impact;� 0.06% Full Scale;;;;;;;;;;;;;;;False;R54
926;Ashcroft Module;Ashcroft;AQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM248;365;Pressure;;57052;;;;;;;Manufacturing;Pressure;+/- 50.0" WC;Working;;10/19/2022;;10/19/2021;Direct Impact;� 0.06% Full Scale;;;;;;;;;;;;;;;False;R54
927;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM249;365;Pressure;;26920;;;;;;#MC1008;Manufacturing;Pressure;0 - 100.0" WC;Working;;10/19/2022;;10/19/2021;Direct Impact;� 0.06% Full Scale;;;;;;;;;;;;;;;False;R54
928;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM250;365;Pressure;;57244;;;;;;#MC2010;Manufacturing;Pressure;0 - 5.0 PSIG;Working;;10/7/2022;;10/7/2021;Direct Impact;� 0.05% Full Scale;;;;;;;;;;;;;;;False;R54
929;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM251;365;Pressure;;57448;;;;;;#MC2011;Manufacturing;Pressure;0 - 10.0 PSIG;Working;;10/7/2022;;10/7/2021;Direct Impact;� 0.05% Full Scale;;;;;;;;;;;;;;;False;R54
930;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM252;365;Pressure;;57132;;;;;;#MC2012;Manufacturing;Pressure;0 - 15.0 PSIG;Working;;10/7/2022;;10/7/2021;Direct Impact;� 0.05% Full Scale;;;;;;;;;;;;;;;False;R54
931;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM253;365;Pressure;;37991;;;;;;;Manufacturing;Pressure;0 - 30.0 PSIG;Working;;10/7/2022;;10/7/2021;Direct Impact;� 0.05% Full Scale;;;;;;;;;;;;;;;False;R54
932;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM254;365;Pressure;;57252;;;;;;#MC2013;Manufacturing;Pressure;0 - 30.0 PSIG;Working;;10/7/2022;;10/7/2021;Direct impact;� 0.05% Full Scale;;;;;;;;;;;;;;;False;R54
933;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.025%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM255;365;Pressure;;60380;;;;;;;Manufacturing;Pressure;0 - 50.0 PSIG;Working;;10/7/2022;;10/7/2021;Direct Impact;� 0.025% Full Scale;;;;;;;;;;;;;;;False;R54
934;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM256;365;Pressure;;61231;;;;;;;Manufacturing;Pressure;0 - 50.0 PSIG;Working;;10/7/2022;;10/7/2021;Direct Impact;� 0.05% Full Scale;;;;;;;;;;;;;;;False;R54
935;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.025%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM257;365;Pressure;;58844;;;;;;;Manufacturing;Pressure;0 - 300.0 PSIG;Working;;11/25/2021;;11/25/2020;Direct Impact;� 0.025% Full Scale;;;;;;;;;;;;;;;False;R54
936;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.1%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM258;365;Pressure;;62182;;;;;;;Manufacturing;Pressure;0 - 10,000.0 PSIG;Working;;10/14/2021;;10/14/2020;Direct Impact;� 0.1% Full Scale;;;;;;;;;;;;;;;False;R54
937;Omega Environmental Transmitter;Omega;IBTHX-W;Calibration;Dave Niezgodzki;17052 Accredited Lab;Active;;MC Lab;LW-HTP06;365;Himidity, Temperature & Pressu;;18110656;;;;;;M08821;Lab;Temp., Hum. & Pressure;�2.0 mbar, 10 to 90%: �2%, �0.5�C for 5 to 45�C;Working;;10/5/2021;-1;10/5/2020;Indirect Impact;;;;;;;;;;;;;;;;False;Accredited Lab
938;Ashcroft Module;Ashcroft;AQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM259;365;Pressure;;60469;;;;;;;Manufacturing;Pressure;0 - 2.0" W.C.;Working;;7/22/2022;;7/22/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
939;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM260;365;Pressure;;10310;;;;;;;Manufacturing;Pressure;0 - 5.0" W.C.;Working;;7/22/2022;;7/22/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
940;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;PSL;MW-PM261;365;Pressure;;57353;;;;;;#MC1004;Manufacturing;Pressure;0 - 5.0" W.C.;Working;;4/12/2022;;4/12/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
941;Ashcroft Module;Ashcroft;AQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM262;365;Pressure;;60471;;;;;;;Manufacturing;Pressure;0 - 5.0" W.C.;Working;;7/22/2022;;7/22/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
942;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Cole Parmer;MW-PM263;365;Pressure;;30240;;;;;;;Manufacturing;Pressure;+/- 5.0" W.C.;Working;;7/22/2022;;7/22/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
943;Ashcroft Module;Ashcroft;AQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM264;365;Pressure;;39778;;;;;;;Manufacturing;Pressure;+/- 5.0" W.C.;Working;;7/22/2022;;7/22/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
944;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM265;365;Pressure;;26917;;;;;;# MC1005;Manufacturing;Pressure;0 - 10.0" W.C.;Working;;7/22/2022;;7/22/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
945;Ashcroft Module;Ashcroft;AQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM266;365;Pressure;;60467;;;;;;;Manufacturing;Pressure;0 - 15.0" W.C.;Working;;7/19/2022;;7/19/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
946;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM267;365;Pressure;;57355;;;;;;#MC1006;Manufacturing;Pressure;0 - 25.0" W.C.;Working;;7/22/2022;;7/22/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
947;Ashcroft Module;Ashcroft;AQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM268;365;Pressure;;60470;;;;;;;Manufacturing;Pressure;0 - 50.0" W.C.;Working;;7/22/2022;;7/22/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
948;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.025%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM269;365;Pressure;;60378;;;;;;;Manufacturing;Pressure;0 - 10 PSIG;Working;;8/18/2022;;8/18/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
949;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;MC Accredited Lab;MW-PM270;365;Pressure;;64469;;;;;;;Manufacturing;Pressure;0 - 15 PSIG;Working;;7/19/2022;;7/19/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
950;Digital Pressure Indicating Box;Dwyer;N/A;Calibration;Dave Niezgodzki;Wakarusa;Active;;MC Lab;MW-DPI09;365;Digital Pressure Indicator;;QW-5200-F;;;;;;;Manufacturing;Pressure;0 - 0.5" W.C.;Working;;6/23/2022;;6/23/2021;Direct Impact;;;;;;;;;;;;;;;;False;Wakarusa
951;Digital Pressure Indicating Box;Dwyer;N/A;Calibration;Dave Niezgodzki;Wakarusa;Active;;MC Lab;MW-DPI10;365;Digital Pressure Indicator;;M087960;;;;;;QW-5200-E;Manufacturing;Pressure;0 - 0.5" W.C.;Working;;10/21/2022;;10/21/2021;Direct Impact;;;;;;;;;;;;;;;;False;Wakarusa
952;Digital Pressure Indicating Box;Dwyer;N/A;Calibration;Dave Niezgodzki;Wakarusa;Active;;MC Lab;MW-DPI11;365;Digital Pressure Indicator;;QW-5207-J;;;;;;;Manufacturing;Pressure;0 - 1.0" W.C.;Working;;3/24/2022;;3/24/2021;Direct Impact;;;;;;;;;;;;;;;;False;Wakarusa
953;Digital Pressure Indicating Box;Dwyer;N/A;Calibration;Dave Niezgodzki;Wakarusa;Active;;MC Lab;MW-DPI12;365;Digital Pressure Indicator;;QW-5201-E;;;;;;;Manufacturing;Pressure;0 - 2.5" W.C.;Working;;3/31/2022;;3/31/2021;Direct Impact;;;;;;;;;;;;;;;;False;Wakarusa
954;Digital Pressure Indicating Box;Dwyer;N/A;Calibration;Dave Niezgodzki;Wakarusa;Active;;MC Lab;MW-DPI13;365;Digital Pressure Indicator;;No QW-5202-G;;;;;;;Manufacturing;Pressure;0 - 5.0" W.C.;Working;;3/31/2022;;3/31/2021;Direct Impact;;;;;;;;;;;;;;;;False;Wakarusa
955;Digital Pressure Indicating Box;Dwyer;N/A;Calibration;Dave Niezgodzki;Wakarusa;Active;;MC Lab;MW-DPI14;365;Digital Pressure Indicator;;QW-5204-E;;;;;;;Manufacturing;Pressure;0 - 5.0" W.C.;Working;;3/31/2022;;3/31/2021;Direct Impact;;;;;;;;;;;;;;;;False;Wakarusa
956;Temperature Transmitter;Dwyer;TTE-104-W-LCD;Calibration;Dave Niezgodzki;P01 Pilot Line;Active;;MC Lab;MW-TT03;365;Temperature;;M08866;;;;;;;Lab;Temperature;-30 - 250 Deg. F;Working;;8/18/2022;;8/18/2021;Indirect Impaact;;;;;;;;;;;;;;;;False;P01 Production
957;Measurement Computing DAQ;Measurement Computing;USB-231;Calibration;Dave Niezgodzki;R64;Active;;Measurement Comp.;MW-DAQ11;365;Electrical Measurement;;1BA0A88;;;;;;;Manufacturing;Data collection;Multi;Working;;6/22/2021;;6/22/2020;Direct Impact;;;;;;;;;;;;;;;;False;R64
958;Measurement Computing DAQ;Measurement Computing;USB-231;Validation;Dave Niezgodzki;MFG ENG;Active;;Measurement Comp.;MW-DAQ12;365;Electrical Measurement;;1BA0A8A;;;;;;;Manufacturing;Data collection;Multi;Working;;6/24/2022;;6/24/2021;Direct Impact;;;;;;;;;;;;;;;;False;Manufacturing Engineering
959;MC DAQ;Measurement Computing;USB-2416;Calibration;Dave Niezgodzki;MC Lab;Active;;Measurement Comp.;LW-DAQ33;365;Electrical Measurement;;87805;;;;;;;Lab;Lab;Multi;Working;;10/26/2021;;10/26/2020;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
960;Monthly Maintenance, Large Flow Loop;Dwyer;N/A;Maintenance;Technician;P01 Large Flow Loop;Inactive;;MC Lab;LW-FB11;30;Flow Measurement;;;702;;;;;;Lab;Flow;0 - 3000 GPM;N/A;;3/3/2019;;2/1/2019;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
961;Ashcroft Module;Ashcroft;AQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM271;365;Pressure;;57541;;;;;;;Manufacturing;Pressure;+/- 12.5" W.C.;Working;;9/9/2022;;9/9/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
962;Ashcroft Module;Ashcroft;AQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM272;365;Pressure;;64492;;;;;;;Manufacturing;Pressure;0 - 50" W.C.;Working;;9/7/2022;;9/7/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
963;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM273;365;Pressure;;64775;;;;;;;Manufacturing;Pressure;0 - 5 PSIG;Working;;7/30/2022;;7/30/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
964;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM274;365;Pressure;;64774;;;;;;;Manufacturing;Pressure;0 - 30 PSIG;Working;;7/30/2022;;7/30/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
965;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM275;365;Pressure;;64468;;;;;;;Manufacturing;Pressure;0 - 15 PSIG;Working;;7/30/2022;;7/30/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
966;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM276;365;Pressure;;64471;;;;;;;Manufacturing;Pressure;0 - 100 PSIG;Working;;9/27/2022;;9/27/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
967;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54 ASIC;Active;;MC Lab;MW-PM277;365;Pressure;;57874;;;;;;;Manufacturing;Pressure;0 - 600 PSIG;Working;;8/18/2022;;8/18/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
968;Pace Measurement/Control Module;GE/Druck;CM2-10G;Calibration;Dave Niezgodzki;R54 ASIC;Active;;GE/Druck;MW-PCM19;1825;Pressure;;10197951;;;;;;10693;Manufacturing;Pressure;-15 to 100 PSIG;Working;;6/11/2023;;6/12/2018;Direct Impact;;;;;;;;;;;;;;;;False;R54
969;Pace Measurement/Control Module;GE/Druck;CM1-14G;Calibration;Dave Niezgodzki;DPG 200 Chamber;Active;;GE/Druck;MW-PCM20;1825;Pressure;;4445317;;;;;;;Manufacturing;Pressure;-15 to 500 PSIG;Working;;6/11/2023;;6/12/2018;Direct Impact;;;;;;;;;;;;;;;;False;R54
970;Pace Chassis;GE/Druck;5000;Cal Not Req;Dave Niezgodzki;DPG 200 Chamber;Active;;MC Lab;MW-DPI15;1825;Digital Pressure Indicator;;10139143;;;;;;;Manufacturing;Pressure; ;Working;;6/11/2023;;6/12/2018;Indirect Impact;;;;;;;;;;;;;;;;False;R54
971;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM278;365;Pressure;;64470;;;;;;;Manufacturing;Pressure;0 - 15 PSIG;Working;;8/28/2022;;8/28/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
972;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM279;365;Pressure;;64475;;;;;;;Manufacturing;Pressure;0 - 30 PSIA;Working;;8/18/2022;;8/18/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
973;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM280;365;Pressure;;64472;;;;;;;Manufacturing;Pressure;0 - 100 PSIG;Working;;8/18/2022;;8/18/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
974;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM281;365;Pressure;;64474;;;;;;;Manufacturing;Pressure;0 - 200 PSIA;Working;;8/18/2022;;8/18/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
975;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;PSL;MW-PM282;365;Pressure;;64473;;;;;;;Manufacturing;Pressure;0 - 500 PSIG;Working;;4/20/2022;;4/20/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
976;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM283;365;Pressure;;64477;;;;;;;Manufacturing;Pressure;0 - 500 PSIG;Working;;8/18/2022;;8/18/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
977;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.025%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM284;365;Pressure;;58431-1;;;;;;010118;Manufacturing;Pressure;0 - 1000 PSIG;Working;;8/26/2022;;8/26/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
978;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.025%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM285;365;Pressure;;62175;;;;;;;Manufacturing;Pressure;0 - 3000 PSIG;Working;;8/18/2022;;8/18/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
979;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.025%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM286;365;Pressure;;58714-1;;;;;;010353;Manufacturing;Pressure;0 - 7500 PSIG;Working;;12/9/2021;;12/9/2020;Direct Impact;;;;;;;;;;;;;;;;False;R54
980;Cole Palmer Calibrator;Ashcroft;68035-Series;Calibration;Dave Niezgodzki;Wakarusa;Active;;Accredited Lab;MW-MFC088;365;Multi-Function Calibrator;;13068;;;;;;QW5100-G;Manufacturing;Lab;Multi;Working;;10/28/2021;;10/28/2020;Direct Impact;;;;;;;;;;;;;;;;False;Wakarusa
981;BK Precision Power Supply ;BK Precision;1902B;Cal Not Req;Dave Niezgodzki;MC Lab;Active;;MC Lab;LS-DPS13;1826;Electrical Power;;1170099967;;;;;;;Lab;Electrical DC;1-60V,0-15A;N/A;;6/28/2023;;6/28/2018;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
982;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;629HLP;Active;;MC Lab;MW-MFC089;182;Multi-Function Calibrator;;49316;;;;;;;Manufacturing;Manufacturing;Multi;Working;;8/12/2020;-1;2/12/2020;Direct Impact;;;;;;;;;;;;;;;;False;Grandview
983;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;R64;Active;;MC Lab;MW-MFC090;365;Multi-Function Calibrator;;50548;;;;;;;Manufacturing;Manufacturing;Multi;Working;;9/9/2021;;9/9/2020;Direct Impact;;;;;;;;;;;;;;;;False;R64
984;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;Grandview;Active;;Accredited Lab;MW-MFC091;365;Multi-Function Calibrator;;50568;;;;;;;Manufacturing;Manufacturing;Multi;Working;;1/29/2022;;1/29/2021;Direct Impact;;;;;;;;;;;;;;;;False;Grandview
985;Portable low-pressure controller;Mensor;CPC2000;Calibration;Dave Niezgodzki;MC Lab;Active;;Mensor;MW-PC08;182;Pressure;;8221518;;;;;;;Manufacturing;Pressure;0 - 4.0186" W.C.;Working;;12/10/2019;;6/11/2019;Direct Impact;;;;;;;;;;;;;;;;False;Main Lab
